DATE	PLOT_ID	QUADRAT_Direction	QUAD_ID	Aca_ovi	Air_sp.	Ant_sca	Ari_ram	Art_fim	Asp_con	Aus_big	Aus_den	Aus_sca	Ave_sp.	Bot_mac	Bri_min	Bro_dia	Bro_hor	Bro_rub	Car_bre	Car_inv	Car_sp.	Car_lan	Cen_ery	Cen_ten	Cha_dru	Che_sie	Chei_sp	Chl_tru	Cho_jun	Chr_api	Cir_vul	Con_ang	Cra_sie	Cym_law	Cyn_sua	Des_var	Dic_cri	Dic_sp.	Enn_nig	Era_bro	Era_sp.	Ery_ovi	Euc_jap	Euc_sph	Eup_dal	Gal_div	Gal_sp.	Gam_cal	Gam_pur	Gam_sp.	Gly_cla	Gly_tab	Goo_pin	Hal_het	Hor_sp.	Hyp_gra	Hyp_per	Hyp_gla	Hyp_rad	Jun_sp.	Jun_sub	Lep_squ	Lin_pel	Lina_sp	Lin_tri	Lom_bra	Lom_fil	Lom_cor	Lom_mul	Lyt_hys	Mic_sti	Mic_sp.	Myo_dis	Nas_tri	Oxa_per	Pan_eff	Pet_nan	Pim_cur	Pla_lan	Pla_var	Poa_sie	Psi_inc	Rum_bro	Ryt_cae	Ryt_car	Ryt_lae	Ryt_rac	Ryt_sp.	Ryt_sp3	Ryt_sp2	Ryt_sp4	San_min	Sch_apo	Sen_sp.	Sol_dom	Son_ole	Son_sp.	The_tri	Tol_bar	Tra_por	Tri_ela	Tri_arv	Tri_cam	Tri_dub	Tri_glo	Tri_sp.	Tri_str	Tri_sub	Tri_pyg	Uni_gsp	Uni_sp2	Uni_sp. 	Vit_cun	Vit_gre	Vit_gra	Vit_mue	Vul_sp.	Wah_com	Wah_lut	Wah_sp.	Wah_sp2	Wah_str	Wur_dio	Zor_dyc
14-11-2017	J1	A	J1A	0	0	1	7	0	0	3	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	9	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	W	W	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	W	1	0	0	0	0	0	0	0	X	0	0	0	0	0	W	0	0	0	0	0	0	0	W	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	Y	0	0	3	0	0	0	0
14-11-2017	J1	B	J1B	0	1	1	2	0	0	1	0	0	0	W	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	W	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	12	0	0	0	0	W	0	0	3	0	0	W	0	0	0	0	0	0	0	5	1	0	5	0	1	0	0	0	7	8	0	0	0	0	0	0	1	Y	0	0	7	0	0	0	0
14-11-2017	J1	C	J1C	0	0	3	1	0	0	8	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	0	0	0	0	3	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	11	W	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	9	1	0	0	1	0	0	0	0	X	0	0	W	0	0	W	0	0	0	0	0	0	0	W	0	0	9	0	0	2	0	0	6	1	0	0	0	0	0	0	10	Y	0	0	0	0	0	0	0
14-11-2017	J2	A	J2A	0	0	9	3	0	0	2	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	X	0	0	4	0	0	W	0	0	0	0	0	0	0	W	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	W	0	0	0	0	0	0	0
14-11-2017	J2	B	J2B	0	0	2	2	0	0	0	0	0	0	W	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	20	0	0	0	0	0	6	0	W	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	W	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	W	0	0	W	0	0	0	0	0	0	0	0	0	0	W	0	9	2	0	0	0	0	0	0	0	0	0	0	0	1	0	6	W	0	0	0	0	0	0	0
14-11-2017	J2	C	J2C	0	0	0	4	0	0	2	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	7	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	X	0	0	W	0	0	W	0	0	0	0	0	0	0	X	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	X	0	8	0	0	0	0	0
14-11-2017	J3	A	J3A	0	W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	W	0	0	W	0	0	4	0	0	0	0	0	0	0	W	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0
14-11-2017	J3	B	J3B	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	142	0	0	0	0	W	0	0	W	0	0	7	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0
14-11-2017	J3	C	J3C	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	1	1	1	0	6	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	W	0	0	0	0	0	0	0	X	0	0	0	0	0	W	0	0	0	6	0	0	0	2	1	2	1	0	0	0	0	2	5	0	0	0	0	0	0	0	0	X	35	0	0	0	0	0	0
15-11-2017	J4	A	J4A	0	W	11	8	0	0	1	0	0	0	5	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	12	0	0	30	11	0	0	W	0	7	0	0	1	2	56	0	0	1	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	6	11	0	0	0	0	0	0	0	W	0	0	0	0	0	4	0	0	0	0	0	0	0	W	1	4	7	2	0	2	0	2	2	9	0	0	0	0	0	0	19	X	0	0	12	0	0	0	0
